,TIME,AREA,Household_Income_Outlook_CSI,Consumer_Spending_Outlook_CSI
0,201501,부산광역시,100,101
1,201502,부산광역시,100,103
2,201503,부산광역시,96,101
3,201504,부산광역시,101,102
4,201505,부산광역시,100,101
5,201506,부산광역시,96,102
6,201507,부산광역시,99,101
7,201508,부산광역시,98,104
8,201509,부산광역시,99,103
9,201510,부산광역시,103,103
10,201511,부산광역시,101,107
11,201512,부산광역시,101,99
12,201601,부산광역시,99,98
13,201602,부산광역시,97,99
14,201603,부산광역시,97,99
15,201604,부산광역시,97,100
16,201605,부산광역시,96,100
17,201606,부산광역시,93,98
18,201607,부산광역시,95,99
19,201608,부산광역시,96,101
20,201609,부산광역시,94,100
21,201610,부산광역시,97,101
22,201611,부산광역시,94,97
23,201612,부산광역시,93,96
24,201701,부산광역시,95,98
25,201702,부산광역시,95,101
26,201703,부산광역시,94,96
27,201704,부산광역시,97,101
28,201705,부산광역시,99,101
29,201706,부산광역시,100,103
30,201707,부산광역시,103,100
31,201708,부산광역시,101,100
32,201709,부산광역시,101,104
33,201710,부산광역시,101,104
34,201711,부산광역시,102,105
35,201712,부산광역시,101,103
36,201801,부산광역시,100,100
37,201802,부산광역시,99,103
38,201803,부산광역시,99,102
39,201804,부산광역시,98,101
40,201805,부산광역시,97,99
41,201806,부산광역시,94,102
42,201807,부산광역시,94,101
43,201808,부산광역시,93,102
44,201809,부산광역시,94,105
45,201810,부산광역시,94,105
46,201811,부산광역시,91,102
47,201812,부산광역시,92,101
48,201901,부산광역시,95,105
49,201902,부산광역시,91,102
50,201903,부산광역시,92,102
51,201904,부산광역시,94,105
52,201905,부산광역시,92,104
53,201906,부산광역시,92,99
54,201907,부산광역시,92,100
55,201908,부산광역시,89,97
56,201909,부산광역시,91,102
57,201910,부산광역시,92,103
58,201911,부산광역시,96,102
59,201912,부산광역시,95,103
60,202001,부산광역시,95,104
61,202002,부산광역시,90,101
62,202003,부산광역시,84,92
63,202004,부산광역시,76,85
64,202005,부산광역시,80,89
65,202006,부산광역시,84,92
66,202007,부산광역시,86,95
67,202008,부산광역시,86,99
68,202009,부산광역시,85,93
69,202010,부산광역시,87,98
70,202011,부산광역시,94,103
71,202012,부산광역시,85,97
72,202101,부산광역시,88,100
73,202102,부산광역시,87,100
74,202103,부산광역시,92,103
75,202104,부산광역시,92,101
76,202105,부산광역시,94,103
77,202106,부산광역시,97,107
78,202107,부산광역시,93,105
79,202108,부산광역시,90,101
80,202109,부산광역시,94,107
81,202110,부산광역시,94,107
82,202111,부산광역시,97,109
83,202112,부산광역시,97,107
84,202201,부산광역시,97,106
85,202202,부산광역시,95,106
86,202203,부산광역시,96,109
87,202204,부산광역시,97,109
88,202205,부산광역시,96,112
89,202206,부산광역시,92,105
90,202207,부산광역시,92,109
91,202208,부산광역시,91,106
92,202209,부산광역시,95,106
93,201501,경상북도,102,108
94,201502,경상북도,102,110
95,201503,경상북도,100,108
96,201504,경상북도,100,109
97,201505,경상북도,102,107
98,201506,경상북도,97,103
99,201507,경상북도,100,106
100,201508,경상북도,102,105
101,201509,경상북도,102,110
102,201510,경상북도,101,108
103,201511,경상북도,99,108
104,201512,경상북도,99,106
105,201601,경상북도,100,105
106,201602,경상북도,98,107
107,201603,경상북도,100,107
108,201604,경상북도,98,108
109,201605,경상북도,98,105
110,201606,경상북도,97,104
111,201607,경상북도,100,106
112,201608,경상북도,99,107
113,201609,경상북도,99,106
114,201610,경상북도,100,104
115,201611,경상북도,95,102
116,201612,경상북도,95,102
117,201701,경상북도,92,102
118,201702,경상북도,94,103
119,201703,경상북도,94,102
120,201704,경상북도,97,104
121,201705,경상북도,103,107
122,201706,경상북도,101,108
123,201707,경상북도,101,110
124,201708,경상북도,101,111
125,201709,경상북도,100,108
126,201710,경상북도,101,110
127,201711,경상북도,104,111
128,201712,경상북도,101,110
129,201801,경상북도,101,107
130,201802,경상북도,100,105
131,201803,경상북도,100,109
132,201804,경상북도,100,109
133,201805,경상북도,100,110
134,201806,경상북도,99,107
135,201807,경상북도,97,106
136,201808,경상북도,97,108
137,201809,경상북도,96,107
138,201810,경상북도,96,108
139,201811,경상북도,95,109
140,201812,경상북도,94,105
141,201901,경상북도,94,107
142,201902,경상북도,93,105
143,201903,경상북도,94,108
144,201904,경상북도,95,107
145,201905,경상북도,95,107
146,201906,경상북도,94,104
147,201907,경상북도,92,104
148,201908,경상북도,91,101
149,201909,경상북도,91,102
150,201910,경상북도,91,103
151,201911,경상북도,93,104
152,201912,경상북도,93,106
153,202001,경상북도,94,106
154,202002,경상북도,91,103
155,202003,경상북도,80,85
156,202004,경상북도,78,86
157,202005,경상북도,79,85
158,202006,경상북도,83,92
159,202007,경상북도,87,94
160,202008,경상북도,88,96
161,202009,경상북도,87,94
162,202010,경상북도,93,100
163,202011,경상북도,93,101
164,202012,경상북도,91,99
165,202101,경상북도,93,100
166,202102,경상북도,93,101
167,202103,경상북도,93,103
168,202104,경상북도,96,103
169,202105,경상북도,98,107
170,202106,경상북도,97,112
171,202107,경상북도,98,108
172,202108,경상북도,96,104
173,202109,경상북도,97,109
174,202110,경상북도,98,109
175,202111,경상북도,99,113
176,202112,경상북도,97,109
177,202201,경상북도,97,110
178,202202,경상북도,99,108
179,202203,경상북도,97,111
180,202204,경상북도,100,113
181,202205,경상북도,96,115
182,202206,경상북도,97,112
183,202207,경상북도,94,109
184,202208,경상북도,96,109
185,202209,경상북도,96,107
186,201501,인천광역시,102,106
187,201502,인천광역시,100,103
188,201503,인천광역시,100,102
189,201504,인천광역시,100,105
190,201505,인천광역시,102,105
191,201506,인천광역시,98,104
192,201507,인천광역시,102,104
193,201508,인천광역시,99,106
194,201509,인천광역시,100,108
195,201510,인천광역시,102,109
196,201511,인천광역시,101,104
197,201512,인천광역시,101,105
198,201601,인천광역시,97,105
199,201602,인천광역시,97,105
200,201603,인천광역시,99,103
201,201604,인천광역시,99,103
202,201605,인천광역시,99,102
203,201606,인천광역시,97,102
204,201607,인천광역시,100,103
205,201608,인천광역시,100,105
206,201609,인천광역시,103,106
207,201610,인천광역시,100,104
208,201611,인천광역시,95,102
209,201612,인천광역시,99,102
210,201701,인천광역시,96,97
211,201702,인천광역시,96,102
212,201703,인천광역시,101,99
213,201704,인천광역시,102,102
214,201705,인천광역시,104,104
