,disYear,disMonth,disDay,disDayCount,cityCode,citySidoName,citySggName,disQuantity,dayAverQuantity,disCount,dayAverCount
0,2018,01,1,4,W0Z,부산광역시,사하구,101129650,25282413,51862,12966
1,2018,01,2,5,W0Z,부산광역시,사하구,120628600,24125720,64300,12860
2,2018,01,3,5,W0Z,부산광역시,사하구,100409650,20081930,56222,11244
3,2018,01,4,5,W0Z,부산광역시,사하구,100256750,20051350,56595,11319
4,2018,01,5,4,W0Z,부산광역시,사하구,79040500,19760125,44818,11205
5,2018,01,6,4,W0Z,부산광역시,사하구,74482850,18620713,43212,10803
6,2018,01,7,4,W0Z,부산광역시,사하구,82832750,20708188,44922,11231
0,2018,01,1,4,W1Z,울산광역시,남구,6598650,1649663,3566,892
1,2018,01,2,5,W1Z,울산광역시,남구,7335900,1467180,4180,836
2,2018,01,3,5,W1Z,울산광역시,남구,7042600,1408520,4088,818
3,2018,01,4,5,W1Z,울산광역시,남구,6308150,1261630,3791,758
4,2018,01,5,4,W1Z,울산광역시,남구,5263600,1315900,3151,788
5,2018,01,6,4,W1Z,울산광역시,남구,4957150,1239288,2971,743
6,2018,01,7,4,W1Z,울산광역시,남구,5441600,1360400,3136,784
0,2018,01,1,4,W0M,서울특별시,서초구,50491350,12622838,29688,7422
1,2018,01,2,5,W0M,서울특별시,서초구,63266350,12653270,37179,7436
2,2018,01,3,5,W0M,서울특별시,서초구,58418950,11683790,35437,7087
3,2018,01,4,5,W0M,서울특별시,서초구,54283000,10856600,34013,6803
4,2018,01,5,4,W0M,서울특별시,서초구,45617100,11404275,28526,7132
5,2018,01,6,4,W0M,서울특별시,서초구,42924700,10731175,27485,6871
6,2018,01,7,4,W0M,서울특별시,서초구,41944650,10486163,25024,6256
0,2018,01,1,4,W4C,충청남도,서산시,1743800,435950,775,194
1,2018,01,2,5,W4C,충청남도,서산시,1897250,379450,832,166
2,2018,01,3,5,W4C,충청남도,서산시,1679150,335830,740,148
3,2018,01,4,5,W4C,충청남도,서산시,2176750,435350,973,195
4,2018,01,5,4,W4C,충청남도,서산시,1398650,349663,624,156
5,2018,01,6,4,W4C,충청남도,서산시,1426950,356738,664,166
6,2018,01,7,4,W4C,충청남도,서산시,1443050,360763,646,162
0,2018,01,1,4,W1B,대구광역시,수성구,73074700,18268675,36919,9230
1,2018,01,2,5,W1B,대구광역시,수성구,90907100,18181420,47282,9456
2,2018,01,3,5,W1B,대구광역시,수성구,78053550,15610710,42105,8421
3,2018,01,4,5,W1B,대구광역시,수성구,76942400,15388480,42478,8496
4,2018,01,5,4,W1B,대구광역시,수성구,61575550,15393888,33877,8469
5,2018,01,6,4,W1B,대구광역시,수성구,61135650,15283913,33932,8483
6,2018,01,7,4,W1B,대구광역시,수성구,64493000,16123250,34466,8617
0,2018,01,1,4,W19,대구광역시,남구,19116400,4779100,10410,2603
1,2018,01,2,5,W19,대구광역시,남구,24117100,4823420,13577,2715
2,2018,01,3,5,W19,대구광역시,남구,20659450,4131890,11911,2382
3,2018,01,4,5,W19,대구광역시,남구,20492400,4098480,12234,2447
4,2018,01,5,4,W19,대구광역시,남구,16261950,4065488,9537,2384
5,2018,01,6,4,W19,대구광역시,남구,16279800,4069950,9702,2426
6,2018,01,7,4,W19,대구광역시,남구,17870050,4467513,10209,2552
0,2018,01,1,4,W6Z,서울특별시,송파구,237098250,59274563,136256,34064
1,2018,01,2,5,W6Z,서울특별시,송파구,292377200,58475440,170584,34117
2,2018,01,3,5,W6Z,서울특별시,송파구,241869200,48373840,147016,29403
3,2018,01,4,5,W6Z,서울특별시,송파구,232326500,46465300,144654,28931
4,2018,01,5,4,W6Z,서울특별시,송파구,200736800,50184200,125407,31352
5,2018,01,6,4,W6Z,서울특별시,송파구,184000050,46000013,115639,28910
6,2018,01,7,4,W6Z,서울특별시,송파구,184970600,46242650,110372,27593
0,2018,01,1,4,W6X,제주특별자치도,제주시,274697950,68674488,112518,28130
1,2018,01,2,5,W6X,제주특별자치도,제주시,303753150,60750630,123802,24760
2,2018,01,3,5,W6X,제주특별자치도,제주시,313220700,62644140,132416,26483
3,2018,01,4,5,W6X,제주특별자치도,제주시,301508250,60301650,127353,25471
4,2018,01,5,4,W6X,제주특별자치도,제주시,231902400,57975600,98034,24509
5,2018,01,6,4,W6X,제주특별자치도,제주시,230994750,57748688,97479,24370
6,2018,01,7,4,W6X,제주특별자치도,제주시,253172000,63293000,102778,25695
0,2018,01,1,4,W3D,강원도,원주시,126929650,31732413,67551,16888
1,2018,01,2,5,W3D,강원도,원주시,147615950,29523190,81134,16227
2,2018,01,3,5,W3D,강원도,원주시,125086400,25017280,71534,14307
3,2018,01,4,5,W3D,강원도,원주시,120814000,24162800,70265,14053
4,2018,01,5,4,W3D,강원도,원주시,95480150,23870038,55792,13948
5,2018,01,6,4,W3D,강원도,원주시,95203100,23800775,55836,13959
6,2018,01,7,4,W3D,강원도,원주시,103754900,25938725,57688,14422
0,2018,01,1,4,W6H,경상남도,통영시,6247000,1561750,2785,696
1,2018,01,2,5,W6H,경상남도,통영시,7669450,1533890,3470,694
2,2018,01,3,5,W6H,경상남도,통영시,7171000,1434200,3245,649
