,DSTRCT_PPR_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
0,3877.8,1333.8,535.6,141.8,3546.9,2652.7,19660.8,131.0,45008.9,463.9,335.5,522.3,661.2,13401.8,147.2,16346.9,11946.3,합계,42.5,912.2,28.3,16.0,178.2,4458.4,1203.0,1115.1,1418.3,4980.5,1082.1,375.5,638.1,발생량,1440.8,1491.7,500.9,28.5,전국,2017
1,0.0,263.8,0.0,0.0,818.2,1878.5,6092.3,0.0,6229.1,0.0,245.0,0.0,334.4,136.8,0.0,3879.4,0.0,합계,0.0,172.8,0.0,0.0,0.0,1358.8,0.0,205.8,0.0,1060.0,0.0,212.7,0.0,매립,1107.6,0.0,313.2,0.0,전국,2017
2,0.0,935.2,0.0,0.0,2253.0,620.6,11747.6,0.0,12016.7,0.0,77.6,0.0,279.3,269.1,0.0,10847.7,0.0,합계,0.0,708.0,0.0,0.0,0.0,2611.3,0.0,825.7,0.0,3514.5,0.0,135.4,0.0,소각,256.5,0.0,151.1,0.0,전국,2017
3,3877.8,134.8,535.6,141.8,475.7,153.6,1820.9,131.0,26763.1,463.9,12.9,522.3,47.5,12995.9,147.2,1619.8,11946.3,합계,42.5,31.4,28.3,16.0,178.2,488.3,1203.0,83.6,1418.3,406.0,1082.1,27.4,638.1,재활용,76.7,1491.7,36.6,28.5,전국,2017
4,28.5,0.0,0.0,0.3,18.9,4.2,126.9,4.2,334.3,0.0,1.0,2.7,0.0,99.6,0.4,122.7,107.8,종로구,1.1,6.5,10.0,0.1,0.0,78.8,4.1,3.1,9.2,15.4,17.0,1.4,12.0,발생량,1.0,18.2,0.8,0.0,서울,2017
5,0.0,0.0,0.0,0.0,1.0,1.7,36.4,0.0,36.4,0.0,0.8,0.0,0.0,0.0,0.0,34.7,0.0,종로구,0.0,0.5,0.0,0.0,0.0,33.0,0.0,0.1,0.0,0.1,0.0,0.3,0.0,매립,0.3,0.0,0.3,0.0,서울,2017
6,0.0,0.0,0.0,0.0,17.9,2.5,90.5,0.0,90.5,0.0,0.2,0.0,0.0,0.0,0.0,88.0,0.0,종로구,0.0,6.0,0.0,0.0,0.0,45.8,0.0,3.0,0.0,15.3,0.0,1.1,0.0,소각,0.7,0.0,0.5,0.0,서울,2017
7,28.5,0.0,0.0,0.3,0.0,0.0,0.0,4.2,207.4,0.0,0.0,2.7,0.0,99.6,0.4,0.0,107.8,종로구,1.1,0.0,10.0,0.1,0.0,0.0,4.1,0.0,9.2,0.0,17.0,0.0,12.0,재활용,0.0,18.2,0.0,0.0,서울,2017
8,52.3,0.0,0.0,0.0,28.2,1.0,186.5,0.3,378.0,0.0,0.0,0.0,0.0,86.3,0.5,185.5,105.2,중구,0.0,19.3,0.0,0.0,0.0,66.2,11.5,26.0,19.2,45.8,7.5,0.0,2.8,발생량,0.0,11.1,1.0,0.0,서울,2017
9,0.0,0.0,0.0,0.0,4.2,1.0,37.3,0.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,36.3,0.0,중구,0.0,5.3,0.0,0.0,0.0,11.0,0.0,5.0,0.0,10.8,0.0,0.0,0.0,매립,0.0,0.0,1.0,0.0,서울,2017
10,0.0,0.0,0.0,0.0,24.0,0.0,149.2,0.0,149.2,0.0,0.0,0.0,0.0,0.0,0.0,149.2,0.0,중구,0.0,14.0,0.0,0.0,0.0,55.2,0.0,21.0,0.0,35.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울,2017
11,52.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,191.5,0.0,0.0,0.0,0.0,86.3,0.5,0.0,105.2,중구,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,19.2,0.0,7.5,0.0,2.8,재활용,0.0,11.1,0.0,0.0,서울,2017
