,DSTRCT_PPR_KIND_QTY,DSTRCT_RSDL_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
0,3889.1,1546.5,1530.7,261.3,164.1,3752.8,2811.3,20361.0,135.1,46749.3,445.6,314.4,626.8,758.1,13359.9,89.9,16791.6,13028.4,합계,44.0,989.0,24.9,11.9,181.7,4336.9,1295.7,1196.3,1228.1,4985.9,1226.2,443.5,589.8,발생량,1413.5,1223.8,639.9,43.9,전국,2018
1,0.0,0.0,305.9,0.0,0.0,879.1,1993.5,6405.7,0.0,6545.2,0.0,268.0,0.0,404.5,139.5,0.0,4007.7,0.0,합계,0.0,191.6,0.0,0.0,0.0,1282.2,0.0,223.9,0.0,1125.0,0.0,268.4,0.0,매립,1053.0,0.0,404.1,0.0,전국,2018
2,0.0,0.0,1062.6,0.0,0.0,2495.3,678.8,12163.5,0.0,12429.3,0.0,38.2,0.0,318.3,265.8,0.0,11166.4,0.0,합계,0.0,734.8,0.0,0.0,0.0,2590.4,0.0,862.2,0.0,3421.1,0.0,147.8,0.0,소각,292.6,0.0,200.2,0.0,전국,2018
3,3889.1,1546.5,162.2,261.3,164.1,378.4,139.0,1791.8,135.1,27774.8,445.6,8.2,626.8,35.3,12954.6,89.9,1617.5,13028.4,합계,44.0,62.6,24.9,11.9,181.7,464.3,1295.7,110.2,1228.1,439.8,1226.2,27.3,589.8,재활용,67.9,1223.8,35.6,43.9,전국,2018
4,27.4,17.4,12.4,0.0,0.3,76.7,4.2,118.8,2.4,337.6,0.0,1.0,2.7,0.0,99.4,0.4,114.6,119.4,종로구,1.1,16.9,10.0,0.1,0.0,0.0,3.2,5.5,9.2,3.1,16.0,1.4,10.5,발생량,1.0,18.7,0.8,0.0,서울,2018
5,0.0,0.0,0.1,0.0,0.0,36.3,1.7,39.7,0.0,39.7,0.0,0.8,0.0,0.0,0.0,0.0,38.0,0.0,종로구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.3,0.0,매립,0.3,0.0,0.3,0.0,서울,2018
6,0.0,0.0,12.3,0.0,0.0,40.4,2.5,79.1,0.0,79.1,0.0,0.2,0.0,0.0,0.0,0.0,76.6,0.0,종로구,0.0,15.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,1.1,0.0,소각,0.7,0.0,0.5,0.0,서울,2018
7,27.4,17.4,0.0,0.0,0.3,0.0,0.0,0.0,2.4,218.8,0.0,0.0,2.7,0.0,99.4,0.4,0.0,119.4,종로구,1.1,0.0,10.0,0.1,0.0,0.0,3.2,0.0,9.2,0.0,16.0,0.0,10.5,재활용,0.0,18.7,0.0,0.0,서울,2018
8,60.7,9.8,0.0,0.1,0.0,24.3,0.0,160.1,0.0,368.2,0.0,0.0,0.0,0.0,96.2,0.5,160.1,111.9,중구,0.0,17.3,0.0,0.0,0.0,64.6,4.7,22.4,19.7,31.5,1.2,0.0,3.5,발생량,0.0,11.7,0.0,0.0,서울,2018
9,0.0,0.0,0.0,0.0,0.0,4.3,0.0,41.2,0.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,41.2,0.0,중구,0.0,5.3,0.0,0.0,0.0,15.0,0.0,5.1,0.0,11.5,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,서울,2018
