,CITY_JIDT_CD_NM,CTS_JIDT_CD_NM,WT_TYPE_GB_NM,WSTE_M_CODE_NM,WSTE_CODE_NM,WSTE_QTY,TOT_RECY_QTY,TOT_INCI_QTY,TOT_FILL_QTY,TOT_ETC_QTY,PUB_RECY_QTY,PUB_INCI_QTY,PUB_FILL_QTY,PUB_ETC_QTY,SELF_RECY_QTY,SELF_INCI_QTY,SELF_FILL_QTY,SELF_ETC_QTY,COM_RECY_QTY,COM_INCI_QTY,COM_FILL_QTY,COM_ETC_QTY,year
0,전국,합계,합계,EMPTY,EMPTY,47403.8,26750.8,13852.6,6642.1,158.1,11385.4,12494.7,6591.5,115.7,63.0,0.3,0,2.4,15302.4,1357.6,50.6,40.0,2020
1,전국,합계,종량제방식 등 혼합배출,소계,EMPTY,22032.5,2465.7,13066.1,6354.0,146.5,1787.2,11946.9,6329.2,110.5,0.0,0.0,0,0.0,678.5,1119.2,24.8,36.0,2020
2,전국,합계,종량제방식 등 혼합배출,가연성,소계,18983.8,2256.4,12171.3,4424.9,131.5,1677.9,11156.9,4415.6,100.5,0.0,0.0,0,0.0,578.5,1014.4,9.3,31.0,2020
3,전국,합계,종량제방식 등 혼합배출,가연성,폐지류,5012.9,388.4,3373.1,1212.0,39.5,365.2,3160.3,1209.5,30.7,0.0,0.0,0,0.0,23.2,212.8,2.5,8.8,2020
4,전국,합계,종량제방식 등 혼합배출,가연성,폐합성수지류,4675.6,650.9,2945.0,1051.1,27.9,504.3,2554.0,1048.7,21.1,0.0,0.0,0,0.0,146.6,391.0,2.4,6.8,2020
5,전국,합계,종량제방식 등 혼합배출,가연성,폐고무류,398.2,99.0,229.6,68.3,0.8,98.1,214.7,67.9,0.5,0.0,0.0,0,0.0,0.9,14.9,0.4,0.3,2020
6,전국,합계,종량제방식 등 혼합배출,가연성,폐섬유류,1015.6,59.0,725.9,220.6,9.4,44.6,698.9,220.3,7.1,0.0,0.0,0,0.0,14.4,27.0,0.3,2.3,2020
7,전국,합계,종량제방식 등 혼합배출,가연성,음식물류 폐기물,1320.1,95.2,939.1,274.6,11.4,78.5,890.9,273.7,9.8,0.0,0.0,0,0.0,16.7,48.2,0.9,1.6,2020
8,전국,합계,종량제방식 등 혼합배출,가연성,폐목재류,1137.5,405.7,597.5,121.0,13.8,54.1,547.9,120.5,11.0,0.0,0.0,0,0.0,351.6,49.6,0.5,2.8,2020
9,전국,합계,종량제방식 등 혼합배출,가연성,기타,5423.9,559.2,3360.3,1476.9,28.4,533.9,3090.5,1474.5,20.0,0.0,0.0,0,0.0,25.3,269.8,2.4,8.4,2020
